CODE,DESCRIPTION,LAST_UPDATED
M893,Hypertrophy of bone,2025-09-10
M894,Other hypertrophic osteoarthropathy,2025-09-10
M895,Osteolysis,2025-09-10
M896,Osteopathy after poliomyelitis,2025-09-10
M898,Other specified disorders of bone,2025-09-10
M899,"Disorder of bone, unspecified",2025-09-10
M90,Osteopathies in diseases classified elsewhere,2025-09-10
M900,Tuberculosis of bone,2025-09-10
M901,Periostitis in other infectious diseases classified elsewhere,2025-09-10
M902,Osteopathy in other infectious diseases classified elsewhere,2025-09-10
M903,Osteonecrosis in caisson disease,2025-09-10
M904,Osteonecrosis due to haemoglobinopathy,2025-09-10
M905,Osteonecrosis in other diseases classified elsewhere,2025-09-10
M906,Osteitis deformans in neoplastic disease,2025-09-10
M907,Fracture of bone in neoplastic disease,2025-09-10
M908,Osteopathy in other diseases classified elsewhere,2025-09-10
M91,Juvenile osteochondrosis of hip and pelvis,2025-09-10
M910,Juvenile osteochondrosis of pelvis,2025-09-10
M911,Juvenile osteochondrosis of head of femur [Legg-Calvé-Perthes],2025-09-10
M912,Coxa plana,2025-09-10
M913,Pseudocoxalgia,2025-09-10
M918,Other juvenile osteochondrosis of hip and pelvis,2025-09-10
M919,"Juvenile osteochondrosis of hip and pelvis, unspecified",2025-09-10
M92,Other juvenile osteochondrosis,2025-09-10
M920,Juvenile osteochondrosis of humerus,2025-09-10
M921,Juvenile osteochondrosis of radius and ulna,2025-09-10
M922,Juvenile osteochondrosis of hand,2025-09-10
M923,Other juvenile osteochondrosis of upper limb,2025-09-10
M924,Juvenile osteochondrosis of patella,2025-09-10
M925,Juvenile osteochondrosis of tibia and fibula,2025-09-10
M926,Juvenile osteochondrosis of tarsus,2025-09-10
M927,Juvenile osteochondrosis of metatarsus,2025-09-10
M928,Other specified juvenile osteochondrosis,2025-09-10
M929,"Juvenile osteochondrosis, unspecified",2025-09-10
M93,Other osteochondropathies,2025-09-10
M930,Slipped upper femoral epiphysis (nontraumatic),2025-09-10
M931,Kienböck disease of adults,2025-09-10
M932,Osteochondritis dissecans,2025-09-10
M938,Other specified osteochondropathies,2025-09-10
M939,"Osteochondropathy, unspecified",2025-09-10
M94,Other disorders of cartilage,2025-09-10
M940,Chondrocostal junction syndrome [Tietze],2025-09-10
M941,Relapsing polychondritis,2025-09-10
M942,Chondromalacia,2025-09-10
M943,Chondrolysis,2025-09-10
M948,Other specified disorders of cartilage,2025-09-10
M949,"Disorder of cartilage, unspecified",2025-09-10
M95,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-10
M950,Acquired deformity of nose,2025-09-10
M951,Cauliflower ear,2025-09-10
M952,Other acquired deformity of head,2025-09-10
M953,Acquired deformity of neck,2025-09-10
M954,Acquired deformity of chest and rib,2025-09-10
M955,Acquired deformity of pelvis,2025-09-10
M958,Other specified acquired deformities of musculoskeletal system,2025-09-10
M959,"Acquired deformity of musculoskeletal system, unspecified",2025-09-10
M96,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-10
M960,Pseudarthrosis after fusion or arthrodesis,2025-09-10
M961,"Postlaminectomy syndrome, not elsewhere classified",2025-09-10
M962,Postradiation kyphosis,2025-09-10
M963,Postlaminectomy kyphosis,2025-09-10
M964,Postsurgical lordosis,2025-09-10
M965,Postradiation scoliosis,2025-09-10
M966,"Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate",2025-09-10
M968,Other postprocedural musculoskeletal disorders,2025-09-10
M969,"Postprocedural musculoskeletal disorder, unspecified",2025-09-10
M99,"Biomechanical lesions, not elsewhere classified",2025-09-10
M990,Segmental and somatic dysfunction,2025-09-10
M991,Subluxation complex (vertebral),2025-09-10
M992,Subluxation stenosis of neural canal,2025-09-10
M993,Osseous stenosis of neural canal,2025-09-10
M994,Connective tissue stenosis of neural canal,2025-09-10
M995,Intervertebral disc stenosis of neural canal,2025-09-10
M996,Osseous and subluxation stenosis of intervertebral foramina,2025-09-10
M997,Connective tissue and disc stenosis of intervertebral foramina,2025-09-10
M998,Other biomechanical lesions,2025-09-10
M999,"Biomechanical lesion, unspecified",2025-09-10
N00,Acute nephritic syndrome,2025-09-10
N000,Acute nephritic syndrome: Minor glomerular abnormality,2025-09-10
N001,Acute nephritic syndrome: Focal and segmental glomerular lesions,2025-09-10
N002,Acute nephritic syndrome: Diffuse membranous glomerulonephritis,2025-09-10
N003,Acute nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N004,Acute nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N005,Acute nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N006,Acute nephritic syndrome: Dense deposit disease,2025-09-10
N007,Acute nephritic syndrome: Diffuse crescentic glomerulonephritis,2025-09-10
N008,Acute nephritic syndrome: Other,2025-09-10
N009,Acute nephritic syndrome: Unspecified,2025-09-10
N01,Rapidly progressive nephritic syndrome,2025-09-10
N010,Rapidly progressive nephritic syndrome: Minor glomerular abnormality,2025-09-10
N011,Rapidly progressive nephritic syndrome: Focal and segmental glomerular lesions,2025-09-10
N012,Rapidly progressive nephritic syndrome: Diffuse membranous glomerulonephritis,2025-09-10
N013,Rapidly progressive nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N014,Rapidly progressive nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N015,Rapidly progressive nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N016,Rapidly progressive nephritic syndrome: Dense deposit disease,2025-09-10
N017,Rapidly progressive nephritic syndrome: Diffuse crescentic glomerulonephritis,2025-09-10
N018,Rapidly progressive nephritic syndrome: Other,2025-09-10
N019,Rapidly progressive nephritic syndrome: Unspecified,2025-09-10
N02,Recurrent and persistent haematuria,2025-09-10
N020,Recurrent and persistent haematuria: Minor glomerular abnormality,2025-09-10
N021,Recurrent and persistent haematuria: Focal and segmental glomerular lesions,2025-09-10
N022,Recurrent and persistent haematuria: Diffuse membranous glomerulonephritis,2025-09-10
N023,Recurrent and persistent haematuria: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N024,Recurrent and persistent haematuria: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N025,Recurrent and persistent haematuria: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N026,Recurrent and persistent haematuria: Dense deposit disease,2025-09-10
N027,Recurrent and persistent haematuria: Diffuse crescentic glomerulonephritis,2025-09-10
N028,Recurrent and persistent haematuria: Other,2025-09-10
N029,Recurrent and persistent haematuria: Unspecified,2025-09-10
N03,Chronic nephritic syndrome,2025-09-10
N030,Chronic nephritic syndrome: Minor glomerular abnormality,2025-09-10
N031,Chronic nephritic syndrome: Focal and segmental glomerular lesions,2025-09-10
N032,Chronic nephritic syndrome: Diffuse membranous glomerulonephritis,2025-09-10
N033,Chronic nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N034,Chronic nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N035,Chronic nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N036,Chronic nephritic syndrome: Dense deposit disease,2025-09-10
N037,Chronic nephritic syndrome: Diffuse crescentic glomerulonephritis,2025-09-10
N038,Chronic nephritic syndrome: Other,2025-09-10
N039,Chronic nephritic syndrome: Unspecified,2025-09-10
N04,Nephrotic syndrome,2025-09-10
N040,Nephrotic syndrome: Minor glomerular abnormality,2025-09-10
N041,Nephrotic syndrome: Focal and segmental glomerular lesions,2025-09-10
N042,Nephrotic syndrome: Diffuse membranous glomerulonephritis,2025-09-10
N043,Nephrotic syndrome: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N044,Nephrotic syndrome: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N045,Nephrotic syndrome: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N046,Nephrotic syndrome: Dense deposit disease,2025-09-10
N047,Nephrotic syndrome: Diffuse crescentic glomerulonephritis,2025-09-10
N048,Nephrotic syndrome: Other,2025-09-10
N049,Nephrotic syndrome: Unspecified,2025-09-10
N05,Unspecified nephritic syndrome,2025-09-10
N050,Unspecified nephritic syndrome: Minor glomerular abnormality,2025-09-10
N051,Unspecified nephritic syndrome: Focal and segmental glomerular lesions,2025-09-10
N052,Unspecified nephritic syndrome: Diffuse membranous glomerulonephritis,2025-09-10
N053,Unspecified nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N054,Unspecified nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N055,Unspecified nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N056,Unspecified nephritic syndrome: Dense deposit disease,2025-09-10
N057,Unspecified nephritic syndrome: Diffuse crescentic glomerulonephritis,2025-09-10
N058,Unspecified nephritic syndrome: Other,2025-09-10
N059,Unspecified nephritic syndrome: Unspecified,2025-09-10
N06,Isolated proteinuria with specified morphological lesion,2025-09-10
N060,Isolated proteinuria with specified morphological lesion: Minor glomerular abnormality,2025-09-10
N061,Isolated proteinuria with specified morphological lesion: Focal and segmental glomerular lesions,2025-09-10
N062,Isolated proteinuria with specified morphological lesion: Diffuse membranous glomerulonephritis,2025-09-10
N063,Isolated proteinuria with specified morphological lesion: Diffuse mesangial proliferative glomerulonephritis,2025-09-10
N064,Isolated proteinuria with specified morphological lesion: Diffuse endocapillary proliferative glomerulonephritis,2025-09-10
N065,Isolated proteinuria with specified morphological lesion: Diffuse mesangiocapillary glomerulonephritis,2025-09-10
N066,Isolated proteinuria with specified morphological lesion: Dense deposit disease,2025-09-10
N067,Isolated proteinuria with specified morphological lesion: Diffuse crescentic glomerulonephritis,2025-09-10
N068,Isolated proteinuria with specified morphological lesion: Other,2025-09-10
N069,Isolated proteinuria with specified morphological lesion: Unspecified,2025-09-10
N07,"Hereditary nephropathy, not elsewhere classified",2025-09-10
N070,"Hereditary nephropathy, not elsewhere classified: Minor glomerular abnormality",2025-09-10
N071,"Hereditary nephropathy, not elsewhere classified: Focal and segmental glomerular lesions",2025-09-10
N072,"Hereditary nephropathy, not elsewhere classified: Diffuse membranous glomerulonephritis",2025-09-10
N073,"Hereditary nephropathy, not elsewhere classified: Diffuse mesangial proliferative glomerulonephritis",2025-09-10
N074,"Hereditary nephropathy, not elsewhere classified: Diffuse endocapillary proliferative glomerulonephritis",2025-09-10
N075,"Hereditary nephropathy, not elsewhere classified: Diffuse mesangiocapillary glomerulonephritis",2025-09-10
N076,"Hereditary nephropathy, not elsewhere classified: Dense deposit disease",2025-09-10
N077,"Hereditary nephropathy, not elsewhere classified: Diffuse crescentic glomerulonephritis",2025-09-10
N078,"Hereditary nephropathy, not elsewhere classified: Other",2025-09-10
N079,"Hereditary nephropathy, not elsewhere classified: Unspecified",2025-09-10
N08,Glomerular disorders in diseases classified elsewhere,2025-09-10
N080,Glomerular disorders in infectious and parasitic diseases classified elsewhere,2025-09-10
N081,Glomerular disorders in neoplastic diseases,2025-09-10
N082,Glomerular disorders in blood diseases and disorders involving the immune mechanism,2025-09-10
N083,Glomerular disorders in diabetes mellitus,2025-09-10
N084,"Glomerular disorders in other endocrine, nutritional and metabolic diseases",2025-09-10
N085,Glomerular disorders in systemic connective tissue disorders,2025-09-10
N088,Glomerular disorders in other diseases classified elsewhere,2025-09-10
N10,Acute tubulo-interstitial nephritis,2025-09-10
N11,Chronic tubulo-interstitial nephritis,2025-09-10
N110,Nonobstructive reflux-associated chronic pyelonephritis,2025-09-10
N111,Chronic obstructive pyelonephritis,2025-09-10
N118,Other chronic tubulo-interstitial nephritis,2025-09-10
N119,"Chronic tubulo-interstitial nephritis, unspecified",2025-09-10
N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",2025-09-10
N13,Obstructive and reflux uropathy,2025-09-10
N130,Hydronephrosis with ureteropelvic junction obstruction,2025-09-10
N131,"Hydronephrosis with ureteral stricture, not elsewhere classified",2025-09-10
N132,Hydronephrosis with renal and ureteral calculous obstruction,2025-09-10
N133,Other and unspecified hydronephrosis,2025-09-10
N134,Hydroureter,2025-09-10
N135,Kinking and stricture of ureter without hydronephrosis,2025-09-10
N136,Pyonephrosis,2025-09-10
N137,Vesicoureteral-reflux-associated uropathy,2025-09-10
N138,Other obstructive and reflux uropathy,2025-09-10
N139,"Obstructive and reflux uropathy, unspecified",2025-09-10
N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-10
N140,Analgesic nephropathy,2025-09-10
N141,"Nephropathy induced by other drugs, medicaments and biological substances",2025-09-10
N142,"Nephropathy induced by unspecified drug, medicament or biological substance",2025-09-10
N143,Nephropathy induced by heavy metals,2025-09-10
N144,"Toxic nephropathy, not elsewhere classified",2025-09-10
N15,Other renal tubulo-interstitial diseases,2025-09-10
N150,Balkan nephropathy,2025-09-10
N151,Renal and perinephric abscess,2025-09-10
N158,Other specified renal tubulo-interstitial diseases,2025-09-10
N159,"Renal tubulo-interstitial disease, unspecified",2025-09-10
N16,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-10
N160,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere,2025-09-10
N161,Renal tubulo-interstitial disorders in neoplastic diseases,2025-09-10
N162,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,2025-09-10
N163,Renal tubulo-interstitial disorders in metabolic diseases,2025-09-10
N164,Renal tubulo-interstitial disorders in systemic connective tissue disorders,2025-09-10
N165,Renal tubulo-interstitial disorders in transplant rejection,2025-09-10
N168,Renal tubulo-interstitial disorders in other diseases classified elsewhere,2025-09-10
N17,Acute renal failure,2025-09-10
N170,Acute renal failure with tubular necrosis,2025-09-10
N171,Acute renal failure with acute cortical necrosis,2025-09-10
N172,Acute renal failure with medullary necrosis,2025-09-10
N178,Other acute renal failure,2025-09-10
N179,"Acute renal failure, unspecified",2025-09-10
N18,Chronic kidney disease,2025-09-10
N181,"Chronic kidney disease, stage 1",2025-09-10
N182,"Chronic kidney disease, stage 2",2025-09-10
N183,"Chronic kidney disease, stage 3",2025-09-10
N184,"Chronic kidney disease, stage 4",2025-09-10
N185,"Chronic kidney disease, stage 5",2025-09-10
N189,"Chronic kidney disease, unspecified",2025-09-10
N19,Unspecified kidney failure,2025-09-10
N20,Calculus of kidney and ureter,2025-09-10
N200,Calculus of kidney,2025-09-10
N201,Calculus of ureter,2025-09-10
N202,Calculus of kidney with calculus of ureter,2025-09-10
N209,"Urinary calculus, unspecified",2025-09-10
N21,Calculus of lower urinary tract,2025-09-10
N210,Calculus in bladder,2025-09-10
N211,Calculus in urethra,2025-09-10
N218,Other lower urinary tract calculus,2025-09-10
N219,"Calculus of lower urinary tract, unspecified",2025-09-10
N22,Calculus of urinary tract in diseases classified elsewhere,2025-09-10
N220,Urinary calculus in schistosomiasis [bilharziasis],2025-09-10
N228,Calculus of urinary tract in other diseases classified elsewhere,2025-09-10
N23,Unspecified renal colic,2025-09-10
N25,Disorders resulting from impaired renal tubular function,2025-09-10
N250,Renal osteodystrophy,2025-09-10
N251,Nephrogenic diabetes insipidus,2025-09-10
N258,Other disorders resulting from impaired renal tubular function,2025-09-10
N259,"Disorder resulting from impaired renal tubular function, unspecified",2025-09-10
N26,Unspecified contracted kidney,2025-09-10
N27,Small kidney of unknown cause,2025-09-10
N270,"Small kidney, unilateral",2025-09-10
N271,"Small kidney, bilateral",2025-09-10
N279,"Small kidney, unspecified",2025-09-10
N28,"Other disorders of kidney and ureter, not elsewhere classified",2025-09-10
N280,Ischaemia and infarction of kidney,2025-09-10
N281,Cyst of kidney,2025-09-10
N288,Other specified disorders of kidney and ureter,2025-09-10
N289,"Disorder of kidney and ureter, unspecified",2025-09-10
N29,Other disorders of kidney and ureter in diseases classified elsewhere,2025-09-10
N290,Late syphilis of kidney,2025-09-10
N291,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere,2025-09-10
N298,Other disorders of kidney and ureter in other diseases classified elsewhere,2025-09-10
N30,Cystitis,2025-09-10
N300,Acute cystitis,2025-09-10
N301,Interstitial cystitis (chronic),2025-09-10
N302,Other chronic cystitis,2025-09-10
N303,Trigonitis,2025-09-10
N304,Irradiation cystitis,2025-09-10
N308,Other cystitis,2025-09-10
N309,"Cystitis, unspecified",2025-09-10
N31,"Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-10
N310,"Uninhibited neuropathic bladder, not elsewhere classified",2025-09-10
N311,"Reflex neuropathic bladder, not elsewhere classified",2025-09-10
N312,"Flaccid neuropathic bladder, not elsewhere classified",2025-09-10
N318,Other neuromuscular dysfunction of bladder,2025-09-10
N319,"Neuromuscular dysfunction of bladder, unspecified",2025-09-10
N32,Other disorders of bladder,2025-09-10
N320,Bladder-neck obstruction,2025-09-10
N321,Vesicointestinal fistula,2025-09-10
N322,"Vesical fistula, not elsewhere classified",2025-09-10
N323,Diverticulum of bladder,2025-09-10
N324,"Rupture of bladder, nontraumatic",2025-09-10
N328,Other specified disorders of bladder,2025-09-10
N329,"Bladder disorder, unspecified",2025-09-10
N33,Bladder disorders in diseases classified elsewhere,2025-09-10
N330,Tuberculous cystitis,2025-09-10
N338,Bladder disorders in other diseases classified elsewhere,2025-09-10
N34,Urethritis and urethral syndrome,2025-09-10
N340,Urethral abscess,2025-09-10
N341,Nonspecific urethritis,2025-09-10
N342,Other urethritis,2025-09-10
N343,"Urethral syndrome, unspecified",2025-09-10
N35,Urethral stricture,2025-09-10
N350,Post-traumatic urethral stricture,2025-09-10
N351,"Postinfective urethral stricture, not elsewhere classified",2025-09-10
N358,Other urethral stricture,2025-09-10
N359,"Urethral stricture, unspecified",2025-09-10
N36,Other disorders of urethra,2025-09-10
N360,Urethral fistula,2025-09-10
N361,Urethral diverticulum,2025-09-10
N362,Urethral caruncle,2025-09-10
N363,Prolapsed urethral mucosa,2025-09-10
N368,Other specified disorders of urethra,2025-09-10
N369,"Urethral disorder, unspecified",2025-09-10
N37,Urethral disorders in diseases classified elsewhere,2025-09-10
N370,Urethritis in diseases classified elsewhere,2025-09-10
N378,Other urethral disorders in diseases classified elsewhere,2025-09-10
N39,Other disorders of urinary system,2025-09-10
N390,"Urinary tract infection, site not specified",2025-09-10
N391,"Persistent proteinuria, unspecified",2025-09-10
N392,"Orthostatic proteinuria, unspecified",2025-09-10
N393,Stress incontinence,2025-09-10
N394,Other specified urinary incontinence,2025-09-10
N398,Other specified disorders of urinary system,2025-09-10
N399,"Disorder of urinary system, unspecified",2025-09-10
N40,Hyperplasia of prostate,2025-09-10
N41,Inflammatory diseases of prostate,2025-09-10
N410,Acute prostatitis,2025-09-10
N411,Chronic prostatitis,2025-09-10
N412,Abscess of prostate,2025-09-10
N413,Prostatocystitis,2025-09-10
N418,Other inflammatory diseases of prostate,2025-09-10
N419,"Inflammatory disease of prostate, unspecified",2025-09-10
N42,Other disorders of prostate,2025-09-10
N420,Calculus of prostate,2025-09-10
N421,Congestion and haemorrhage of prostate,2025-09-10
N422,Atrophy of prostate,2025-09-10
N423,Dysplasia of prostate,2025-09-10
N428,Other specified disorders of prostate,2025-09-10
N429,"Disorder of prostate, unspecified",2025-09-10
N43,Hydrocele and spermatocele,2025-09-10
N430,Encysted hydrocele,2025-09-10
N431,Infected hydrocele,2025-09-10
N432,Other hydrocele,2025-09-10
N433,"Hydrocele, unspecified",2025-09-10
N434,Spermatocele,2025-09-10
N44,Torsion of testis,2025-09-10
N45,Orchitis and epididymitis,2025-09-10
N450,"Orchitis, epididymitis and epididymo-orchitis with abscess",2025-09-10
N459,"Orchitis, epididymitis and epididymo-orchitis without abscess",2025-09-10
N46,Male infertility,2025-09-10
N47,"Redundant prepuce, phimosis and paraphimosis",2025-09-10
N48,Other disorders of penis,2025-09-10
N480,Leukoplakia of penis,2025-09-10
N481,Balanoposthitis,2025-09-10
N482,Other inflammatory disorders of penis,2025-09-10
N483,Priapism,2025-09-10
N484,Impotence of organic origin,2025-09-10
N485,Ulcer of penis,2025-09-10
N486,Induratio penis plastica,2025-09-10
N488,Other specified disorders of penis,2025-09-10
N489,"Disorder of penis, unspecified",2025-09-10
N49,"Inflammatory disorders of male genital organs, not elsewhere classified",2025-09-10
N490,Inflammatory disorders of seminal vesicle,2025-09-10
N491,"Inflammatory disorders of spermatic cord, tunica vaginalis and vas deferens",2025-09-10
N492,Inflammatory disorders of scrotum,2025-09-10
N498,Inflammatory disorders of other specified male genital organs,2025-09-10
N499,Inflammatory disorder of unspecified male genital organ,2025-09-10
N50,Other disorders of male genital organs,2025-09-10
N500,Atrophy of testis,2025-09-10
N501,Vascular disorders of male genital organs,2025-09-10
N508,Other specified disorders of male genital organs,2025-09-10
N509,"Disorder of male genital organs, unspecified",2025-09-10
N51,Disorders of male genital organs in diseases classified elsewhere,2025-09-10
N510,Disorders of prostate in diseases classified elsewhere,2025-09-10
N511,Disorders of testis and epididymis in diseases classified elsewhere,2025-09-10
N512,Balanitis in diseases classified elsewhere,2025-09-10
N518,Other disorders of male genital organs in diseases classified elsewhere,2025-09-10
N60,Benign mammary dysplasia,2025-09-10
N600,Solitary cyst of breast,2025-09-10
N601,Diffuse cystic mastopathy,2025-09-10
N602,Fibroadenosis of breast,2025-09-10
N603,Fibrosclerosis of breast,2025-09-10
N604,Mammary duct ectasia,2025-09-10
N608,Other benign mammary dysplasias,2025-09-10
N609,"Benign mammary dysplasia, unspecified",2025-09-10
N61,Inflammatory disorders of breast,2025-09-10
N62,Hypertrophy of breast,2025-09-10
N63,Unspecified lump in breast,2025-09-10
N64,Other disorders of breast,2025-09-10
N640,Fissure and fistula of nipple,2025-09-10
N641,Fat necrosis of breast,2025-09-10
N642,Atrophy of breast,2025-09-10
N643,Galactorrhoea not associated with childbirth,2025-09-10
N644,Mastodynia,2025-09-10
N645,Other signs and symptoms in breast,2025-09-10
N648,Other specified disorders of breast,2025-09-10
N649,"Disorder of breast, unspecified",2025-09-10
N70,Salpingitis and oophoritis,2025-09-10
N700,Acute salpingitis and oophoritis,2025-09-10
N701,Chronic salpingitis and oophoritis,2025-09-10
N709,"Salpingitis and oophoritis, unspecified",2025-09-10
N71,"Inflammatory disease of uterus, except cervix",2025-09-10
N710,Acute inflammatory disease of uterus,2025-09-10
N711,Chronic inflammatory disease of uterus,2025-09-10
N719,"Inflammatory disease of uterus, unspecified",2025-09-10
N72,Inflammatory disease of cervix uteri,2025-09-10
N73,Other female pelvic inflammatory diseases,2025-09-10
N730,Acute parametritis and pelvic cellulitis,2025-09-10
N731,Chronic parametritis and pelvic cellulitis,2025-09-10
N732,Unspecified parametritis and pelvic cellulitis,2025-09-10
N733,Female acute pelvic peritonitis,2025-09-10
N734,Female chronic pelvic peritonitis,2025-09-10
N735,"Female pelvic peritonitis, unspecified",2025-09-10
N736,Female pelvic peritoneal adhesions,2025-09-10
N738,Other specified female pelvic inflammatory diseases,2025-09-10
N739,"Female pelvic inflammatory disease, unspecified",2025-09-10
N74,Female pelvic inflammatory disorders in diseases classified elsewhere,2025-09-10
N740,Tuberculous infection of cervix uteri,2025-09-10
N741,Female tuberculous pelvic inflammatory disease,2025-09-10
N742,Female syphilitic pelvic inflammatory disease,2025-09-10
N743,Female gonococcal pelvic inflammatory disease,2025-09-10
N744,Female chlamydial pelvic inflammatory disease,2025-09-10
N748,Female pelvic inflammatory disorders in other diseases classified elsewhere,2025-09-10
N75,Diseases of Bartholin gland,2025-09-10
N750,Cyst of Bartholin gland,2025-09-10
N751,Abscess of Bartholin gland,2025-09-10
N758,Other diseases of Bartholin gland,2025-09-10
N759,"Disease of Bartholin gland, unspecified",2025-09-10
N76,Other inflammation of vagina and vulva,2025-09-10
N760,Acute vaginitis,2025-09-10
N761,Subacute and chronic vaginitis,2025-09-10
N762,Acute vulvitis,2025-09-10
N763,Subacute and chronic vulvitis,2025-09-10
N764,Abscess of vulva,2025-09-10
N765,Ulceration of vagina,2025-09-10
N766,Ulceration of vulva,2025-09-10
N768,Other specified inflammation of vagina and vulva,2025-09-10
N77,Vulvovaginal ulceration and inflammation in diseases classified elsewhere,2025-09-10
N770,Ulceration of vulva in infectious and parasitic diseases classified elsewhere,2025-09-10
N771,"Vaginitis, vulvitis and vulvovaginitis in infectious and parasitic diseases classified elsewhere",2025-09-10
N778,Vulvovaginal ulceration and inflammation in other diseases classified elsewhere,2025-09-10
N80,Endometriosis,2025-09-10
N800,Endometriosis of uterus,2025-09-10
N801,Endometriosis of ovary,2025-09-10
N802,Endometriosis of fallopian tube,2025-09-10
N803,Endometriosis of pelvic peritoneum,2025-09-10
N804,Endometriosis of rectovaginal septum and vagina,2025-09-10
N805,Endometriosis of intestine,2025-09-10
N806,Endometriosis in cutaneous scar,2025-09-10
N808,Other endometriosis,2025-09-10
N809,"Endometriosis, unspecified",2025-09-10
N81,Female genital prolapse,2025-09-10
N810,Female urethrocele,2025-09-10
N811,Cystocele,2025-09-10
N812,Incomplete uterovaginal prolapse,2025-09-10
N813,Complete uterovaginal prolapse,2025-09-10
N814,"Uterovaginal prolapse, unspecified",2025-09-10
N815,Vaginal enterocele,2025-09-10
N816,Rectocele,2025-09-10
N818,Other female genital prolapse,2025-09-10
N819,"Female genital prolapse, unspecified",2025-09-10
N82,Fistulae involving female genital tract,2025-09-10
N820,Vesicovaginal fistula,2025-09-10
N821,Other female urinary-genital tract fistulae,2025-09-10
N822,Fistula of vagina to small intestine,2025-09-10
N823,Fistula of vagina to large intestine,2025-09-10
N824,Other female intestinal-genital tract fistulae,2025-09-10
N825,Female genital tract-skin fistulae,2025-09-10
N828,Other female genital tract fistulae,2025-09-10
N829,"Female genital tract fistula, unspecified",2025-09-10
N83,"Noninflammatory disorders of ovary, fallopian tube and broad ligament",2025-09-10
N830,Follicular cyst of ovary,2025-09-10
N831,Corpus luteum cyst,2025-09-10
N832,Other and unspecified ovarian cysts,2025-09-10
N833,Acquired atrophy of ovary and fallopian tube,2025-09-10
N834,Prolapse and hernia of ovary and fallopian tube,2025-09-10
N835,"Torsion of ovary, ovarian pedicle and fallopian tube",2025-09-10
N836,Haematosalpinx,2025-09-10
N837,Haematoma of broad ligament,2025-09-10
N838,"Other noninflammatory disorders of ovary, fallopian tube and broad ligament",2025-09-10
N839,"Noninflammatory disorder of ovary, fallopian tube and broad ligament, unspecified",2025-09-10
N84,Polyp of female genital tract,2025-09-10
N840,Polyp of corpus uteri,2025-09-10
N841,Polyp of cervix uteri,2025-09-10
N842,Polyp of vagina,2025-09-10
N843,Polyp of vulva,2025-09-10
N848,Polyp of other parts of female genital tract,2025-09-10
N849,"Polyp of female genital tract, unspecified",2025-09-10
N85,"Other noninflammatory disorders of uterus, except cervix",2025-09-10
N850,Endometrial glandular hyperplasia,2025-09-10
N851,Endometrial adenomatous hyperplasia,2025-09-10
N852,Hypertrophy of uterus,2025-09-10
N853,Subinvolution of uterus,2025-09-10
N854,Malposition of uterus,2025-09-10
N855,Inversion of uterus,2025-09-10
N856,Intrauterine synechiae,2025-09-10
N857,Haematometra,2025-09-10
N858,Other specified noninflammatory disorders of uterus,2025-09-10
N859,"Noninflammatory disorder of uterus, unspecified",2025-09-10
N86,Erosion and ectropion of cervix uteri,2025-09-10
N87,Dysplasia of cervix uteri,2025-09-10
N870,Mild cervical dysplasia,2025-09-10
N871,Moderate cervical dysplasia,2025-09-10
N872,"Severe cervical dysplasia, not elsewhere classified",2025-09-10
N879,"Dysplasia of cervix uteri, unspecified",2025-09-10
N88,Other noninflammatory disorders of cervix uteri,2025-09-10
N880,Leukoplakia of cervix uteri,2025-09-10
N881,Old laceration of cervix uteri,2025-09-10
N882,Stricture and stenosis of cervix uteri,2025-09-10
N883,Incompetence of cervix uteri,2025-09-10
N884,Hypertrophic elongation of cervix uteri,2025-09-10
N888,Other specified noninflammatory disorders of cervix uteri,2025-09-10
